config,model,weighting,lambda_amp,donor,RMSE,MAPE,shape_MSE,SARIMA_RMSE,baseline_RMSE,improvement_vs_sarima_pct,improvement_vs_baseline_pct,a_transfer,fold_RMSE_std,mean_abs_log_amplitude,max_abs_log_amplitude
Model_B_uniform_lam10.0,Model_B,uniform,10.0,RUS,15079.815089638996,16.411068063371822,1.7271171295511774,4504.2538921072555,2186.946061975524,-234.79052137942662,-589.5375863096053,0.17952770739793777,8063.955640723435,1.7174257338047028,1.7174499034881592
Model_C_weighted_lam0.001,Model_C,weighted,0.001,RUS,1719.8540677894043,1.4671905584428886,0.10435587438401449,4504.2538921072555,2186.946061975524,61.81711535393061,21.35818538497395,0.06725014001131058,676.5367138652211,2.6983489394187927,2.700470209121704
Model_C_weighted_lam0.01,Model_C,weighted,0.01,RUS,14244.771065823114,12.717144399240246,0.40910488103378034,4504.2538921072555,2186.946061975524,-216.25151261530874,-551.354476157288,0.2741566320260366,5958.551517807728,1.2940590381622314,1.294066309928894
Model_C_weighted_lam0.1,Model_C,weighted,0.1,RUS,9676.637971033844,10.464314274520738,1.4740442484072354,4504.2538921072555,2186.946061975524,-114.83331541301631,-342.4726397821028,0.09882110406955083,4119.292346444265,2.314453363418579,2.3144712448120117
Model_C_weighted_lam1.0,Model_C,weighted,1.0,RUS,7321.502477305261,7.120945939690906,1.1121802655070663,4504.2538921072555,2186.946061975524,-62.54639841982782,-234.7820325614963,0.07312668661276499,3035.5986785994396,2.615569233894348,2.6155855655670166
Model_C_weighted_lam10.0,Model_C,weighted,10.0,RUS,6513.670026804258,5.752978579302372,0.33906176784969677,4504.2538921072555,2186.946061975524,-44.61152019467809,-197.84319513213296,0.13737836182117463,2695.5430525402244,1.9848138093948364,1.9853161573410034
Model_C_uniform_lam0.001,Model_C,uniform,0.001,RUS,3469.1598532229673,3.15227206377249,0.2242882956410275,4504.2538921072555,2186.946061975524,22.98036619778627,-58.630334489785575,0.062459261156618595,1395.6655510857693,2.773240804672241,2.773595094680786
Model_C_uniform_lam0.01,Model_C,uniform,0.01,RUS,3351.8281868117037,2.55034414780476,0.13565860229680834,4504.2538921072555,2186.946061975524,25.585274118648865,-53.265242572279625,0.09262321330606937,1345.7663304114694,2.3792154788970947,2.3792171478271484
Model_C_uniform_lam0.1,Model_C,uniform,0.1,RUS,10407.95881550778,9.27271286206341,0.8681426685674051,4504.2538921072555,2186.946061975524,-131.06954147823478,-375.91291785705977,0.17966295778751373,4328.657489585956,1.7166726291179657,1.7166774272918701
Model_C_uniform_lam1.0,Model_C,uniform,1.0,RUS,21330.904605302047,23.143912944993243,1.869752772995142,4504.2538921072555,2186.946061975524,-373.572429890773,-875.3740604847518,0.27590537816286087,8914.596731914096,1.2876973152160645,1.2876986265182495
